feature,count,mean,std,min,25%,50%,75%,max
year,515131.0,1998.3963050175587,10.931629059899038,1922.0,1994.0,2002.0,2006.0,2011.0
f00,515131.0,43.386255805028235,6.067918939814184,1.749,39.953445,44.25711,47.833585,61.97014
f01,515131.0,1.2844919938229304,51.5837773170972,-337.0925,-26.065525,8.41273,36.12125,384.06573
f02,515131.0,8.658990040416903,35.270877767616234,-301.00506,-11.463075,10.47692,29.766765,322.85143
f03,515131.0,1.164408587621401,16.322505434546432,-154.18358,-8.48718,-0.65198,8.788535,335.77182
f04,515131.0,-6.553841972061476,22.86180869070129,-181.95337,-20.667005000000003,-6.00755,7.74136,262.06887
f05,515131.0,-9.521529744725129,12.858254327937365,-81.79429,-18.44118,-11.18791,-2.387245,166.23689
f06,515131.0,-2.3910879330500396,14.572857569759009,-188.214,-10.780439999999999,-2.04705,6.5086949999999995,172.40268
f07,515131.0,-1.7931864573865675,7.9642932610897175,-72.50385,-6.4690449999999995,-1.7365,2.913955,126.74127
f08,515131.0,3.72775555423766,10.583753774254706,-126.47904,-2.2940250000000004,3.82231,9.962115,146.29795
f09,515131.0,1.8823777084081526,6.530345383655869,-41.63166,-2.444865,1.7835,6.14748,60.34535
f10,515131.0,-0.14657446028291832,4.37102213316596,-69.68087,-2.6521999999999997,-0.09794,2.43567,88.02082
f11,515131.0,2.546441207071599,8.320432560793886,-94.04196,-2.54991,2.31396,7.36046,87.91324
f12,515131.0,33.71406990439325,22.259030347620065,0.13283,18.242185,29.09533,43.42618,549.76491
f13,515131.0,2439.372038860232,1749.3824638477513,8.4742,1315.603835,2009.34926,3042.0197399999997,65735.77953
f14,515131.0,1967.8095656912512,1261.6111812945453,21.21435,1113.512335,1687.81581,2489.4704,36816.79037
f15,515131.0,1514.9015443025366,1092.8899547215221,17.8579,814.98774,1240.80857,1892.1856,31849.48676
f16,515131.0,911.003857597679,475.7537976918315,12.15042,606.5506600000001,817.28601,1100.8653450000002,19865.93197
f17,515131.0,879.1696517183008,576.8823088066019,5.51771,487.863745,739.51112,1114.28195,16831.94903
f18,515131.0,603.7498536412097,317.5271056727239,19.80881,392.36076,541.54115,740.743935,11901.70515
f19,515131.0,517.5789508583641,309.36466732518676,6.25487,318.60965,444.7724,626.98723,9569.77809
f20,515131.0,393.97940002663404,214.03409396596092,6.18376,257.544885,349.75282,476.09635000000003,9616.6156
f21,515131.0,325.7346609092056,165.6997962776233,15.3075,214.01218,292.73394,397.51011500000004,3721.87321
f22,515131.0,288.88253464227546,186.9489604043073,6.11644,167.706175,242.08136,356.18395,6737.1215
f23,515131.0,291.9803251708012,153.49261657772104,5.17734,197.512575,264.09156,349.48149,9813.23367
f24,515131.0,43.02212399240194,121.43078491755274,-2821.43021,-11.656535,27.64017,88.757845,2049.60434
f25,515131.0,43.323434356755854,715.7967538170794,-13390.36069,-288.57732999999996,-43.23603,284.12246000000005,24479.66465
f26,515131.0,-46.41910896073038,544.904002271975,-12017.08887,-250.71949,-38.9299,167.48601000000002,14505.34222
f27,515131.0,-27.670236650463668,218.37750424821803,-4324.8647,-118.55933999999999,-23.43117,65.830885,3410.61556
f28,515131.0,14.955163654604364,163.23086366527818,-3357.2799,-60.184115,7.75559,84.478535,3277.63367
f29,515131.0,44.520763226441424,134.8928858193959,-3115.37456,-24.432875,30.07663,97.450755,3553.18488
f30,515131.0,5.134183247212844,99.09634457544081,-3805.66617,-38.59245,4.11892,48.707544999999996,2347.4148
f31,515131.0,24.03231297196247,71.81218636825623,-1516.35644,-6.467969999999999,23.11864,55.62384,1954.35548
f32,515131.0,9.504064002787642,74.41309524155486,-1679.11832,-24.769075,7.83614,40.986345,2887.84621
f33,515131.0,-4.18054573659904,53.512480719049755,-1590.63713,-28.67686,-9.72059,12.296505,2330.33366
f34,515131.0,0.5032677800210044,42.48816266795307,-989.6458,-16.988554999999998,3.2058,20.804395,1813.23653
f35,515131.0,72.65385819700231,107.91789229085082,-1711.484,14.47821,56.22203,116.850415,2496.12262
f36,515131.0,-51.416280020402574,415.0667272624013,-8448.19488,-223.774155,-73.20943,85.738995,14148.99785
f37,515131.0,117.92212787964614,453.44620231376587,-10095.72595,-99.59701000000001,79.9315,307.20262,8059.14646
f38,515131.0,-189.8842579281581,260.6577388094591,-9803.75904,-289.73352,-160.49005,-60.26245,6065.05481
f39,515131.0,23.094911655268273,205.75286981633707,-7882.82324,-69.68444500000001,21.13867,115.104245,8360.14557
f40,515131.0,-1.2781522703545314,119.84066954972478,-4673.35538,-53.52167,-4.21278,46.816874999999996,3537.50359
f41,515131.0,18.13858896418581,119.8522950799017,-4175.41268,-27.231360000000002,25.79809,75.72588999999999,3892.12478
f42,515131.0,-51.962933077663735,73.62375001869825,-4975.38177,-79.16416,-45.39512,-17.992955000000002,1202.49154
f43,515131.0,3.231278356010413,38.37387273846131,-1072.95552,-14.579835,3.37018,21.655324999999998,1830.54468
f44,515131.0,-1.490091754660465,41.54751044115397,-1021.28921,-20.728555,-0.91754,19.24845,746.7075
f45,515131.0,6.337569178694352,54.97784847394048,-1329.95974,-17.31558,3.95718,28.017085,1198.62677
f46,515131.0,78.67202708804169,470.62910610408164,-14861.69535,-113.71596,75.05326,282.41782,9059.75981
f47,515131.0,142.7154469958321,262.3866293037046,-3992.68866,10.536135,105.60759,241.200195,6967.63984
f48,515131.0,-86.51943591455377,209.5441667871955,-6642.39958,-157.58426500000002,-62.76699,12.181705000000001,6172.34505
f49,515131.0,25.243987681948862,122.1555184700226,-2344.5265,-24.53759,31.51548,85.62201999999999,2067.20448
f50,515131.0,6.380007678668145,93.56135032012632,-2270.81107,-38.693574999999996,5.13579,50.57795,1426.84804
f51,515131.0,28.29137218466759,75.05351413931778,-1746.47822,-9.113430000000001,25.75069,62.437115,2460.43343
f52,515131.0,12.765583061396033,69.98126468730985,-3188.17738,-18.090400000000002,8.99665,39.45475,2394.66234
f53,515131.0,1.6958710634576448,83.28550315429582,-2199.78221,-33.968085,0.58898,37.239639999999994,2900.52018
f54,515131.0,-10.207764566877165,57.807331979329845,-1694.26032,-28.916595,-1.94739,18.59597,569.13581
f55,515131.0,64.11088070300565,273.8359365525438,-5154.02436,-68.536665,29.87403,163.70235,6955.41472
f56,515131.0,104.83605505395715,311.1574428461075,-5111.60175,-38.780635000000004,85.7308,225.36007,12700.01435
f57,515131.0,-0.029526985252294913,266.7913208356726,-4730.5991,-117.33798999999999,-16.14323,86.77647999999999,13001.25902
f58,515131.0,38.68581586196521,169.08569011669312,-3756.49079,-44.38587,27.75681,111.084485,5419.27694
f59,515131.0,-27.99085888496324,144.0930690096583,-2499.95468,-94.4175,-31.40822,30.69334,5690.29165
